year,state,population,admin,handgun,long_gun,month,multiple,other,permit,totals,city,killed,injured
2013,Louisiana,4626795.0,0.0,8734.0,7613.0,6,404.0,362.0,0.0,18953.0,New Orleans,0,4
2013,Louisiana,4626795.0,0.0,10087.0,8985.0,5,502.0,401.0,0.0,21920.0,New Orleans,0,19
2013,Louisiana,4626795.0,0.0,11514.0,10078.0,4,549.0,445.0,0.0,24525.0,Harvey,0,5
2013,Louisiana,4626795.0,0.0,14463.0,12844.0,3,679.0,499.0,0.0,30893.0,Shreveport,1,3
2013,Louisiana,4626795.0,0.0,16804.0,13560.0,2,856.0,582.0,0.0,35129.0,New Orleans,0,4
2013,Louisiana,4626795.0,0.0,21046.0,17511.0,1,940.0,799.0,0.0,42313.0,Charenton,2,3
2013,Louisiana,4626795.0,0.0,21046.0,17511.0,1,940.0,799.0,0.0,42313.0,New Orleans,0,5
2013,Maryland,5932654.0,0.0,7716.0,6779.0,8,15.0,112.0,64.0,14929.0,Baltimore,2,2
2013,Maryland,5932654.0,0.0,6533.0,5355.0,7,18.0,97.0,43.0,12248.0,Baltimore,0,4
2013,Maryland,5932654.0,0.0,6849.0,5318.0,6,50.0,290.0,0.0,12702.0,Baltimore,1,4
2013,Maryland,5932654.0,0.0,9416.0,8660.0,1,19.0,76.0,0.0,18392.0,Baltimore,1,6
2013,Michigan,9899219.0,0.0,9884.0,16140.0,12,223.0,361.0,10790.0,37647.0,Muskegon,1,3
2013,Michigan,9899219.0,0.0,8496.0,18252.0,11,208.0,257.0,12196.0,39996.0,Lansing,0,5
2013,Michigan,9899219.0,0.0,8496.0,18252.0,11,208.0,257.0,12196.0,39996.0,Detroit,3,7
2013,Michigan,9899219.0,0.0,7795.0,13428.0,9,217.0,275.0,13994.0,36135.0,Muskegon,2,4
2013,Michigan,9899219.0,0.0,7795.0,13428.0,9,217.0,275.0,13994.0,36135.0,Lansing,0,4
2013,Michigan,9899219.0,0.0,7767.0,10728.0,8,170.0,245.0,15044.0,34265.0,Detroit,0,5
2013,Michigan,9899219.0,0.0,7378.0,7169.0,7,157.0,196.0,14353.0,29608.0,Inkster,0,4
2013,Michigan,9899219.0,0.0,7378.0,7169.0,7,157.0,196.0,14353.0,29608.0,Grand Rapids (Kentwood),0,5
2013,Michigan,9899219.0,0.0,7378.0,7169.0,7,157.0,196.0,14353.0,29608.0,Pontiac,1,6
2013,Michigan,9899219.0,0.0,9056.0,8443.0,5,137.0,283.0,15804.0,34050.0,Flint,1,3
2013,Michigan,9899219.0,0.0,9056.0,8443.0,5,137.0,283.0,15804.0,34050.0,Detroit,0,4
2013,Michigan,9899219.0,0.0,9056.0,8443.0,5,137.0,283.0,15804.0,34050.0,Detroit,1,4
2013,Michigan,9899219.0,0.0,17749.0,16343.0,3,292.0,435.0,22430.0,57686.0,Saginaw (county),0,4
2013,Michigan,9899219.0,0.0,18279.0,14848.0,2,322.0,448.0,20254.0,54680.0,Grand Rapids,0,4
2013,Minnesota,5416074.0,0.0,7482.0,14683.0,11,301.0,326.0,14604.0,38292.0,Minneapolis,1,3
2013,Minnesota,5416074.0,0.0,7706.0,12119.0,8,300.0,306.0,14625.0,35738.0,Minneapolis,2,2
2013,Mississippi,2987721.0,0.0,5315.0,4149.0,7,244.0,102.0,622.0,12768.0,Meridian,0,4
2013,Mississippi,2987721.0,0.0,8752.0,8146.0,3,384.0,190.0,1032.0,21207.0,Jackson,2,2
2013,Missouri,6041142.0,0.0,14101.0,14257.0,9,770.0,536.0,3569.0,35901.0,Saint Louis,1,3
2013,Missouri,6041142.0,0.0,14101.0,14257.0,9,770.0,536.0,3569.0,35901.0,Saint Louis,1,3
2013,Missouri,6041142.0,0.0,16625.0,14656.0,8,834.0,505.0,3392.0,38352.0,Saint Louis,2,2
2013,Missouri,6041142.0,0.0,16625.0,14656.0,8,834.0,505.0,3392.0,38352.0,Kansas City,1,3
